freq,psd_x,psd_y,psd_z,psd_xyz,zv(49.8),mzv(49.2),ei(60.4),2hump_ei(77.6),3hump_ei(95.4)
93.4,1.039e+02,1.919e+02,2.968e+02,5.926e+02,0.779,0.202,0.372,0.058,0.057
95.0,1.160e+02,1.757e+02,3.120e+02,6.038e+02,0.782,0.231,0.399,0.058,0.057
96.6,1.330e+02,1.663e+02,3.128e+02,6.121e+02,0.784,0.260,0.424,0.056,0.056
98.1,1.497e+02,1.706e+02,3.247e+02,6.449e+02,0.784,0.289,0.449,0.053,0.055
99.7,1.806e+02,1.778e+02,3.410e+02,6.994e+02,0.782,0.317,0.472,0.049,0.052
101.2,2.099e+02,1.738e+02,3.525e+02,7.362e+02,0.778,0.345,0.494,0.044,0.049
102.8,2.318e+02,1.494e+02,3.362e+02,7.175e+02,0.772,0.373,0.515,0.037,0.044
104.3,2.615e+02,1.193e+02,3.409e+02,7.217e+02,0.764,0.399,0.533,0.030,0.039
105.9,2.794e+02,1.136e+02,3.372e+02,7.302e+02,0.755,0.425,0.551,0.029,0.034
107.5,3.000e+02,1.063e+02,3.231e+02,7.294e+02,0.744,0.450,0.566,0.030,0.028
109.0,3.405e+02,1.181e+02,3.316e+02,7.902e+02,0.731,0.473,0.579,0.033,0.022
110.6,3.789e+02,1.245e+02,3.307e+02,8.341e+02,0.717,0.496,0.591,0.040,0.020
112.1,4.070e+02,1.138e+02,3.168e+02,8.376e+02,0.701,0.516,0.600,0.055,0.019
113.7,4.348e+02,1.023e+02,3.209e+02,8.579e+02,0.683,0.535,0.607,0.071,0.019
115.2,4.690e+02,9.507e+01,3.189e+02,8.830e+02,0.664,0.553,0.612,0.089,0.021
116.8,4.607e+02,9.291e+01,2.975e+02,8.511e+02,0.644,0.569,0.615,0.108,0.024
118.4,4.855e+02,8.903e+01,3.032e+02,8.778e+02,0.622,0.583,0.616,0.128,0.031
119.9,4.780e+02,8.032e+01,2.890e+02,8.474e+02,0.599,0.595,0.615,0.149,0.037
121.5,5.053e+02,8.174e+01,2.898e+02,8.769e+02,0.575,0.605,0.611,0.170,0.044
123.0,5.800e+02,7.792e+01,3.013e+02,9.593e+02,0.550,0.613,0.605,0.192,0.050
124.6,6.739e+02,8.751e+01,3.032e+02,1.065e+03,0.523,0.619,0.598,0.214,0.055
126.1,8.261e+02,9.481e+01,3.069e+02,1.228e+03,0.496,0.623,0.588,0.236,0.059
127.7,9.895e+02,9.653e+01,3.230e+02,1.409e+03,0.468,0.625,0.577,0.258,0.063
129.3,1.306e+03,1.083e+02,3.300e+02,1.744e+03,0.439,0.625,0.564,0.280,0.066
130.8,1.580e+03,1.114e+02,3.332e+02,2.024e+03,0.410,0.623,0.549,0.301,0.067
132.4,1.745e+03,1.102e+02,3.096e+02,2.165e+03,0.381,0.620,0.532,0.321,0.068
133.9,1.702e+03,9.810e+01,2.535e+02,2.053e+03,0.366,0.614,0.515,0.341,0.067
135.5,1.230e+03,8.795e+01,1.663e+02,1.484e+03,0.351,0.606,0.495,0.360,0.065
137.0,9.441e+02,6.999e+01,1.437e+02,1.158e+03,0.337,0.597,0.475,0.379,0.062
138.6,7.829e+02,6.669e+01,1.283e+02,9.779e+02,0.324,0.585,0.454,0.396,0.057
140.2,6.201e+02,6.658e+01,1.084e+02,7.951e+02,0.313,0.572,0.432,0.411,0.051
141.7,4.257e+02,6.162e+01,8.918e+01,5.765e+02,0.303,0.558,0.409,0.426,0.051
143.3,3.579e+02,6.099e+01,9.534e+01,5.142e+02,0.295,0.542,0.385,0.439,0.051
144.8,2.828e+02,5.079e+01,8.708e+01,4.207e+02,0.289,0.524,0.361,0.450,0.052
146.4,2.019e+02,4.825e+01,7.000e+01,3.201e+02,0.285,0.506,0.337,0.460,0.053
147.9,1.789e+02,4.698e+01,6.313e+01,2.890e+02,0.283,0.486,0.313,0.469,0.055
149.5,1.205e+02,4.161e+01,5.425e+01,2.164e+02,0.282,0.465,0.289,0.475,0.058
151.1,1.059e+02,3.704e+01,5.025e+01,1.931e+02,0.284,0.443,0.266,0.480,0.061
152.6,8.144e+01,4.474e+01,4.434e+01,1.705e+02,0.288,0.421,0.242,0.484,0.065
154.2,6.935e+01,4.691e+01,4.154e+01,1.578e+02,0.294,0.398,0.220,0.485,0.070
155.7,5.090e+01,4.628e+01,3.574e+01,1.329e+02,0.301,0.374,0.198,0.485,0.076
157.3,4.598e+01,4.664e+01,3.470e+01,1.273e+02,0.309,0.350,0.181,0.483,0.093
158.8,3.916e+01,4.496e+01,3.147e+01,1.156e+02,0.318,0.326,0.172,0.479,0.111
160.4,3.491e+01,4.986e+01,3.212e+01,1.169e+02,0.329,0.302,0.162,0.474,0.129
162.0,3.893e+01,4.899e+01,3.311e+01,1.210e+02,0.339,0.279,0.154,0.467,0.147
163.5,3.427e+01,5.791e+01,3.449e+01,1.267e+02,0.351,0.255,0.146,0.459,0.166
165.1,3.415e+01,6.198e+01,3.798e+01,1.341e+02,0.362,0.232,0.139,0.449,0.185
166.6,2.625e+01,6.569e+01,3.658e+01,1.285e+02,0.385,0.219,0.133,0.439,0.203
168.2,2.978e+01,8.559e+01,4.348e+01,1.589e+02,0.410,0.210,0.128,0.426,0.221
169.8,2.632e+01,8.085e+01,4.375e+01,1.509e+02,0.433,0.201,0.123,0.413,0.239
171.3,2.796e+01,9.413e+01,4.375e+01,1.658e+02,0.456,0.193,0.119,0.399,0.256
172.9,2.743e+01,8.815e+01,4.383e+01,1.594e+02,0.478,0.185,0.115,0.384,0.272
174.4,2.705e+01,9.528e+01,4.378e+01,1.661e+02,0.498,0.179,0.112,0.368,0.288
176.0,2.919e+01,9.463e+01,4.135e+01,1.652e+02,0.518,0.173,0.109,0.351,0.303
177.5,2.696e+01,8.698e+01,4.384e+01,1.578e+02,0.536,0.168,0.107,0.334,0.317
179.1,3.114e+01,9.255e+01,4.260e+01,1.663e+02,0.553,0.164,0.105,0.317,0.330
180.7,3.011e+01,9.801e+01,4.764e+01,1.757e+02,0.568,0.160,0.104,0.300,0.341
182.2,3.137e+01,1.018e+02,4.626e+01,1.795e+02,0.583,0.157,0.103,0.282,0.352
183.8,3.223e+01,1.078e+02,5.014e+01,1.902e+02,0.596,0.155,0.103,0.265,0.361
185.3,3.672e+01,1.186e+02,5.206e+01,2.074e+02,0.607,0.153,0.103,0.247,0.368
186.9,3.962e+01,1.286e+02,5.540e+01,2.236e+02,0.617,0.152,0.104,0.231,0.375
188.4,3.552e+01,1.128e+02,5.422e+01,2.026e+02,0.626,0.151,0.106,0.214,0.380
190.0,4.241e+01,1.230e+02,5.972e+01,2.251e+02,0.633,0.150,0.107,0.198,0.383
191.6,3.314e+01,1.031e+02,5.599e+01,1.922e+02,0.639,0.150,0.110,0.183,0.385
193.1,3.982e+01,1.157e+02,6.035e+01,2.159e+02,0.643,0.150,0.113,0.169,0.386
194.7,3.609e+01,1.087e+02,6.230e+01,2.071e+02,0.646,0.150,0.117,0.156,0.385
196.2,3.747e+01,1.112e+02,6.626e+01,2.149e+02,0.647,0.150,0.121,0.143,0.383
197.8,3.720e+01,1.292e+02,7.350e+01,2.399e+02,0.647,0.151,0.126,0.132,0.380
199.3,3.201e+01,9.845e+01,7.825e+01,2.087e+02,0.646,0.151,0.132,0.124,0.375
200.9,2.946e+01,1.057e+02,7.601e+01,2.112e+02,0.643,0.152,0.138,0.119,0.369
202.5,2.828e+01,1.146e+02,8.256e+01,2.255e+02,0.639,0.153,0.144,0.114,0.362
