freq,psd_x,psd_y,psd_z,psd_xyz,zv(72.4),mzv(69.6),ei(81.8),2hump_ei(105.8),3hump_ei(131.6)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.6,1.193e-14,6.454e-12,2.941e-14,6.495e-12,0.997,0.995,0.994,0.993,0.993
3.1,6.950e-03,4.684e-01,3.950e-03,4.793e-01,0.992,0.988,0.986,0.984,0.983
4.7,5.054e-01,2.326e+01,4.483e-01,2.421e+01,0.986,0.979,0.976,0.974,0.972
6.2,2.815e+00,9.127e+01,2.175e+00,9.626e+01,0.979,0.970,0.965,0.961,0.959
7.8,3.982e+00,1.710e+02,3.772e+00,1.787e+02,0.972,0.958,0.952,0.947,0.945
9.3,3.453e+00,2.862e+02,5.518e+00,2.952e+02,0.963,0.945,0.937,0.932,0.929
10.9,3.323e+00,3.315e+02,5.462e+00,3.402e+02,0.953,0.931,0.920,0.914,0.911
12.5,2.139e+00,3.624e+02,4.840e+00,3.694e+02,0.942,0.916,0.903,0.896,0.892
14.0,1.626e+00,3.986e+02,4.008e+00,4.042e+02,0.930,0.899,0.883,0.875,0.871
15.6,1.912e+00,4.483e+02,3.863e+00,4.541e+02,0.917,0.881,0.863,0.854,0.849
17.1,2.008e+00,5.157e+02,3.592e+00,5.213e+02,0.903,0.862,0.841,0.831,0.826
18.7,1.678e+00,5.948e+02,4.246e+00,6.007e+02,0.888,0.841,0.817,0.807,0.801
20.2,2.235e+00,5.983e+02,3.595e+00,6.041e+02,0.873,0.820,0.793,0.782,0.776
21.8,1.504e+00,5.654e+02,3.837e+00,5.708e+02,0.856,0.797,0.768,0.756,0.749
23.4,2.127e+00,5.773e+02,3.864e+00,5.833e+02,0.838,0.774,0.741,0.729,0.722
24.9,1.430e+00,6.088e+02,3.820e+00,6.141e+02,0.820,0.750,0.714,0.701,0.694
26.5,1.662e+00,7.106e+02,4.835e+00,7.171e+02,0.801,0.725,0.686,0.673,0.666
28.0,1.344e+00,8.155e+02,5.324e+00,8.222e+02,0.781,0.699,0.658,0.644,0.637
29.6,1.402e+00,8.793e+02,4.412e+00,8.851e+02,0.760,0.672,0.629,0.615,0.607
31.1,1.426e+00,1.016e+03,4.827e+00,1.022e+03,0.738,0.645,0.599,0.585,0.578
32.7,1.426e+00,1.162e+03,5.259e+00,1.169e+03,0.716,0.618,0.569,0.555,0.548
34.3,1.610e+00,1.244e+03,7.650e+00,1.253e+03,0.693,0.590,0.539,0.525,0.518
35.8,1.812e+00,1.444e+03,6.274e+00,1.452e+03,0.669,0.561,0.508,0.495,0.488
37.4,2.064e+00,1.637e+03,1.087e+01,1.650e+03,0.645,0.533,0.478,0.465,0.458
38.9,2.400e+00,1.764e+03,1.329e+01,1.779e+03,0.620,0.504,0.448,0.435,0.428
40.5,2.726e+00,2.096e+03,9.365e+00,2.108e+03,0.595,0.475,0.417,0.406,0.399
42.1,3.099e+00,2.380e+03,1.278e+01,2.396e+03,0.569,0.446,0.387,0.377,0.370
43.6,3.556e+00,2.612e+03,1.767e+01,2.633e+03,0.542,0.417,0.358,0.348,0.342
45.2,4.221e+00,3.201e+03,1.882e+01,3.224e+03,0.515,0.388,0.329,0.320,0.315
46.7,4.651e+00,3.788e+03,1.829e+01,3.811e+03,0.488,0.359,0.300,0.292,0.288
48.3,4.750e+00,4.346e+03,2.487e+01,4.375e+03,0.460,0.331,0.272,0.265,0.261
49.8,5.418e+00,5.454e+03,3.783e+01,5.498e+03,0.432,0.303,0.245,0.239,0.236
51.4,6.497e+00,6.526e+03,7.001e+01,6.603e+03,0.403,0.275,0.218,0.214,0.212
53.0,7.624e+00,7.571e+03,1.094e+02,7.688e+03,0.374,0.248,0.193,0.190,0.188
54.5,1.068e+01,9.676e+03,1.064e+02,9.793e+03,0.345,0.221,0.168,0.166,0.166
56.1,1.726e+01,1.166e+04,1.270e+02,1.180e+04,0.316,0.195,0.144,0.144,0.145
57.6,2.540e+01,1.309e+04,1.365e+02,1.326e+04,0.287,0.170,0.122,0.123,0.125
59.2,3.501e+01,1.533e+04,1.568e+02,1.552e+04,0.257,0.145,0.101,0.103,0.106
60.7,3.843e+01,1.635e+04,1.793e+02,1.657e+04,0.227,0.121,0.081,0.084,0.088
62.3,3.596e+01,1.710e+04,1.386e+02,1.727e+04,0.198,0.098,0.062,0.067,0.072
63.9,4.121e+01,2.045e+04,1.649e+02,2.066e+04,0.168,0.077,0.045,0.051,0.058
65.4,4.234e+01,2.315e+04,1.622e+02,2.336e+04,0.139,0.058,0.034,0.036,0.045
67.0,4.012e+01,2.584e+04,1.537e+02,2.603e+04,0.112,0.045,0.026,0.027,0.034
68.5,4.994e+01,3.119e+04,2.294e+02,3.147e+04,0.090,0.037,0.023,0.022,0.026
70.1,4.885e+01,3.319e+04,2.633e+02,3.350e+04,0.073,0.035,0.025,0.021,0.023
71.6,4.607e+01,3.383e+04,3.082e+02,3.419e+04,0.063,0.039,0.029,0.023,0.023
73.2,5.252e+01,3.357e+04,4.225e+02,3.405e+04,0.064,0.046,0.035,0.027,0.027
74.8,4.591e+01,2.973e+04,4.423e+02,3.022e+04,0.074,0.057,0.042,0.034,0.031
76.3,3.973e+01,2.628e+04,4.520e+02,2.677e+04,0.091,0.070,0.048,0.040,0.036
77.9,4.243e+01,2.294e+04,5.034e+02,2.348e+04,0.111,0.081,0.052,0.045,0.040
79.4,3.589e+01,1.877e+04,4.417e+02,1.925e+04,0.137,0.092,0.055,0.049,0.043
81.0,3.206e+01,1.529e+04,3.540e+02,1.568e+04,0.165,0.102,0.056,0.053,0.045
82.5,3.792e+01,1.271e+04,3.525e+02,1.311e+04,0.193,0.110,0.056,0.055,0.046
84.1,3.488e+01,1.023e+04,2.771e+02,1.054e+04,0.220,0.117,0.054,0.056,0.047
85.7,3.551e+01,8.546e+03,2.340e+02,8.816e+03,0.247,0.123,0.051,0.056,0.047
87.2,4.024e+01,7.253e+03,2.344e+02,7.528e+03,0.274,0.128,0.047,0.055,0.046
88.8,3.466e+01,6.393e+03,1.819e+02,6.609e+03,0.301,0.131,0.042,0.054,0.044
90.3,3.457e+01,5.579e+03,1.633e+02,5.777e+03,0.327,0.133,0.035,0.052,0.042
91.9,3.628e+01,4.986e+03,1.700e+02,5.192e+03,0.352,0.133,0.031,0.049,0.039
93.4,2.958e+01,4.590e+03,1.282e+02,4.748e+03,0.377,0.133,0.029,0.045,0.036
95.0,2.993e+01,4.172e+03,1.254e+02,4.327e+03,0.402,0.131,0.028,0.041,0.032
96.6,3.228e+01,3.808e+03,1.309e+02,3.972e+03,0.426,0.128,0.031,0.037,0.028
98.1,2.822e+01,3.530e+03,1.087e+02,3.667e+03,0.449,0.124,0.036,0.032,0.023
99.7,2.967e+01,3.229e+03,1.128e+02,3.371e+03,0.471,0.118,0.043,0.027,0.021
101.2,3.037e+01,2.911e+03,1.136e+02,3.055e+03,0.493,0.112,0.057,0.021,0.019
102.8,2.937e+01,2.681e+03,9.791e+01,2.808e+03,0.515,0.104,0.073,0.018,0.018
104.4,3.309e+01,2.531e+03,1.084e+02,2.672e+03,0.535,0.097,0.089,0.016,0.017
105.9,3.461e+01,2.380e+03,1.102e+02,2.524e+03,0.555,0.093,0.107,0.015,0.018
107.5,3.218e+01,2.273e+03,8.938e+01,2.394e+03,0.575,0.089,0.125,0.016,0.019
109.0,3.445e+01,2.109e+03,9.077e+01,2.234e+03,0.593,0.086,0.144,0.018,0.020
110.6,3.616e+01,1.957e+03,8.893e+01,2.082e+03,0.611,0.083,0.163,0.021,0.022
112.1,4.045e+01,1.873e+03,7.329e+01,1.987e+03,0.627,0.081,0.183,0.027,0.025
113.7,4.738e+01,1.771e+03,8.116e+01,1.900e+03,0.644,0.080,0.203,0.032,0.030
115.3,4.868e+01,1.684e+03,8.494e+01,1.817e+03,0.659,0.081,0.223,0.037,0.034
116.8,5.279e+01,1.621e+03,7.596e+01,1.750e+03,0.673,0.084,0.244,0.041,0.039
118.4,6.083e+01,1.549e+03,8.495e+01,1.694e+03,0.687,0.088,0.265,0.045,0.043
119.9,6.696e+01,1.505e+03,8.333e+01,1.655e+03,0.699,0.094,0.285,0.049,0.046
121.5,7.315e+01,1.462e+03,7.843e+01,1.614e+03,0.711,0.102,0.306,0.052,0.049
123.0,8.817e+01,1.398e+03,9.282e+01,1.579e+03,0.722,0.110,0.327,0.055,0.052
124.6,9.426e+01,1.319e+03,9.560e+01,1.509e+03,0.732,0.120,0.347,0.056,0.054
126.2,1.076e+02,1.309e+03,8.302e+01,1.500e+03,0.742,0.131,0.367,0.058,0.055
127.7,1.293e+02,1.161e+03,1.026e+02,1.393e+03,0.750,0.144,0.387,0.058,0.056
129.3,1.499e+02,1.126e+03,1.005e+02,1.376e+03,0.757,0.164,0.406,0.058,0.057
130.8,1.903e+02,1.135e+03,9.402e+01,1.419e+03,0.764,0.184,0.425,0.057,0.057
132.4,2.373e+02,9.787e+02,1.071e+02,1.323e+03,0.769,0.204,0.443,0.056,0.057
133.9,2.936e+02,8.671e+02,1.030e+02,1.264e+03,0.774,0.225,0.461,0.053,0.056
135.5,2.650e+02,4.424e+02,7.708e+01,7.845e+02,0.778,0.245,0.478,0.050,0.055
137.1,2.819e+02,2.335e+02,7.912e+01,5.945e+02,0.781,0.266,0.494,0.046,0.053
138.6,2.456e+02,1.767e+02,7.354e+01,4.958e+02,0.783,0.286,0.509,0.042,0.050
140.2,2.308e+02,1.599e+02,7.386e+01,4.645e+02,0.784,0.306,0.524,0.037,0.048
141.7,1.948e+02,1.522e+02,6.718e+01,4.142e+02,0.784,0.327,0.537,0.032,0.044
143.3,1.587e+02,1.317e+02,5.845e+01,3.489e+02,0.783,0.346,0.550,0.029,0.041
144.8,1.384e+02,1.323e+02,5.724e+01,3.279e+02,0.782,0.366,0.561,0.029,0.037
146.4,1.270e+02,1.271e+02,5.644e+01,3.105e+02,0.779,0.385,0.572,0.029,0.033
148.0,1.239e+02,1.262e+02,5.549e+01,3.056e+02,0.776,0.404,0.581,0.031,0.029
149.5,1.175e+02,1.236e+02,5.654e+01,2.977e+02,0.772,0.422,0.590,0.035,0.024
151.1,1.129e+02,1.319e+02,6.111e+01,3.060e+02,0.767,0.440,0.597,0.042,0.021
152.6,1.165e+02,1.459e+02,6.731e+01,3.297e+02,0.761,0.457,0.603,0.053,0.020
154.2,1.279e+02,1.532e+02,7.324e+01,3.544e+02,0.754,0.473,0.608,0.065,0.019
155.7,1.339e+02,1.691e+02,8.222e+01,3.852e+02,0.746,0.489,0.612,0.077,0.019
157.3,1.351e+02,1.763e+02,9.176e+01,4.032e+02,0.738,0.504,0.614,0.091,0.020
158.9,1.470e+02,1.837e+02,1.032e+02,4.340e+02,0.729,0.518,0.616,0.105,0.021
160.4,1.441e+02,1.865e+02,1.097e+02,4.403e+02,0.719,0.532,0.616,0.119,0.022
162.0,1.531e+02,2.023e+02,1.174e+02,4.728e+02,0.708,0.545,0.615,0.134,0.027
163.5,1.592e+02,1.995e+02,1.243e+02,4.830e+02,0.697,0.557,0.613,0.149,0.032
165.1,1.646e+02,2.032e+02,1.296e+02,4.974e+02,0.685,0.568,0.610,0.165,0.036
166.7,1.629e+02,2.086e+02,1.356e+02,5.071e+02,0.672,0.578,0.605,0.181,0.041
168.2,1.690e+02,2.075e+02,1.446e+02,5.210e+02,0.658,0.587,0.600,0.197,0.046
169.8,1.769e+02,2.185e+02,1.576e+02,5.530e+02,0.644,0.595,0.593,0.213,0.050
171.3,1.776e+02,2.064e+02,1.613e+02,5.453e+02,0.629,0.603,0.586,0.229,0.054
172.9,1.824e+02,2.133e+02,1.709e+02,5.666e+02,0.614,0.609,0.577,0.245,0.057
174.4,1.903e+02,2.044e+02,1.751e+02,5.698e+02,0.598,0.614,0.568,0.261,0.060
176.0,2.036e+02,2.218e+02,1.879e+02,6.133e+02,0.582,0.618,0.557,0.277,0.063
177.6,2.232e+02,2.388e+02,1.954e+02,6.574e+02,0.564,0.622,0.546,0.293,0.065
179.1,2.374e+02,2.258e+02,2.102e+02,6.735e+02,0.547,0.624,0.534,0.308,0.066
180.7,2.563e+02,2.266e+02,2.156e+02,6.984e+02,0.529,0.625,0.521,0.323,0.067
182.2,2.465e+02,2.104e+02,1.999e+02,6.568e+02,0.510,0.626,0.507,0.338,0.068
183.8,2.698e+02,2.152e+02,2.128e+02,6.979e+02,0.491,0.625,0.493,0.352,0.067
185.3,2.969e+02,2.326e+02,2.345e+02,7.640e+02,0.472,0.623,0.478,0.366,0.066
186.9,3.130e+02,2.192e+02,2.384e+02,7.706e+02,0.452,0.620,0.462,0.379,0.065
188.5,3.520e+02,2.214e+02,2.583e+02,8.317e+02,0.433,0.617,0.446,0.392,0.063
190.0,3.523e+02,1.992e+02,2.375e+02,7.890e+02,0.412,0.612,0.429,0.404,0.060
191.6,3.801e+02,2.012e+02,2.368e+02,8.181e+02,0.392,0.606,0.413,0.415,0.056
193.1,4.100e+02,2.020e+02,2.366e+02,8.486e+02,0.376,0.600,0.395,0.425,0.052
194.7,4.430e+02,2.120e+02,2.432e+02,8.982e+02,0.366,0.593,0.378,0.435,0.051
196.2,4.549e+02,2.383e+02,2.466e+02,9.398e+02,0.355,0.584,0.360,0.444,0.051
197.8,4.981e+02,2.785e+02,2.762e+02,1.053e+03,0.346,0.575,0.342,0.452,0.051
199.4,5.057e+02,3.550e+02,2.810e+02,1.142e+03,0.336,0.565,0.325,0.459,0.052
200.9,4.928e+02,4.072e+02,2.880e+02,1.188e+03,0.327,0.555,0.307,0.466,0.053
202.5,5.168e+02,5.387e+02,3.334e+02,1.389e+03,0.319,0.543,0.289,0.471,0.054
