freq,psd_x,psd_y,psd_z,psd_xyz,zv(47.8),mzv(47.6),ei(58.4),2hump_ei(75.0),3hump_ei(92.2)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.6,7.620e-14,9.234e-15,6.159e-12,6.244e-12,0.994,0.992,0.991,0.990,0.989
3.1,5.903e-03,8.506e-04,4.588e-01,4.655e-01,0.986,0.980,0.978,0.976,0.974
4.7,3.525e-01,8.132e-01,2.512e+01,2.628e+01,0.975,0.965,0.962,0.958,0.955
6.2,8.318e-01,7.545e+00,5.662e+01,6.499e+01,0.962,0.948,0.943,0.937,0.934
7.8,1.568e+00,2.320e+00,1.065e+02,1.104e+02,0.947,0.927,0.920,0.913,0.908
9.3,3.032e+00,1.324e+00,2.074e+02,2.117e+02,0.929,0.903,0.895,0.886,0.880
10.9,3.652e+00,1.471e+00,2.497e+02,2.548e+02,0.909,0.877,0.867,0.857,0.849
12.5,4.214e+00,1.081e+00,2.934e+02,2.987e+02,0.887,0.848,0.836,0.824,0.816
14.0,4.498e+00,9.219e-01,3.275e+02,3.329e+02,0.862,0.817,0.803,0.790,0.780
15.6,5.151e+00,9.761e-01,3.754e+02,3.816e+02,0.836,0.783,0.768,0.753,0.742
17.1,5.777e+00,9.500e-01,4.426e+02,4.493e+02,0.807,0.748,0.731,0.715,0.703
18.7,6.866e+00,8.732e-01,5.293e+02,5.370e+02,0.777,0.711,0.692,0.675,0.662
20.2,8.536e+00,8.733e-01,6.087e+02,6.181e+02,0.745,0.672,0.652,0.635,0.621
21.8,1.041e+01,1.047e+00,7.065e+02,7.179e+02,0.712,0.633,0.611,0.593,0.578
23.4,1.217e+01,1.150e+00,7.877e+02,8.010e+02,0.676,0.592,0.569,0.551,0.536
24.9,1.392e+01,1.139e+00,8.655e+02,8.806e+02,0.640,0.550,0.526,0.508,0.493
26.5,1.740e+01,1.431e+00,1.061e+03,1.080e+03,0.601,0.508,0.484,0.466,0.450
28.0,2.101e+01,1.588e+00,1.280e+03,1.302e+03,0.562,0.466,0.441,0.424,0.408
29.6,2.525e+01,1.231e+00,1.502e+03,1.528e+03,0.522,0.424,0.399,0.383,0.367
31.1,3.219e+01,1.493e+00,1.901e+03,1.935e+03,0.480,0.381,0.358,0.342,0.327
32.7,4.067e+01,1.554e+00,2.358e+03,2.400e+03,0.438,0.340,0.317,0.303,0.289
34.3,5.210e+01,2.279e+00,2.893e+03,2.947e+03,0.394,0.298,0.277,0.265,0.251
35.8,7.475e+01,3.171e+00,3.946e+03,4.024e+03,0.350,0.258,0.239,0.228,0.216
37.4,1.051e+02,4.046e+00,5.317e+03,5.426e+03,0.306,0.219,0.203,0.194,0.183
38.9,1.561e+02,6.762e+00,7.534e+03,7.697e+03,0.261,0.181,0.168,0.161,0.152
40.5,2.608e+02,1.274e+01,1.221e+04,1.248e+04,0.217,0.145,0.135,0.130,0.123
42.0,4.870e+02,2.261e+01,2.185e+04,2.236e+04,0.172,0.111,0.105,0.102,0.097
43.6,9.805e+02,4.105e+01,4.124e+04,4.226e+04,0.127,0.078,0.077,0.076,0.073
45.1,1.564e+03,7.560e+01,6.177e+04,6.341e+04,0.092,0.052,0.052,0.052,0.053
46.7,1.771e+03,1.199e+02,6.533e+04,6.722e+04,0.068,0.037,0.034,0.033,0.036
48.3,1.564e+03,1.637e+02,5.374e+04,5.547e+04,0.063,0.035,0.025,0.023,0.025
49.8,1.346e+03,2.232e+02,4.315e+04,4.472e+04,0.081,0.044,0.024,0.021,0.023
51.4,1.059e+03,2.346e+02,3.199e+04,3.329e+04,0.110,0.060,0.030,0.025,0.027
52.9,7.758e+02,2.315e+02,2.259e+04,2.360e+04,0.151,0.078,0.040,0.033,0.034
54.5,6.202e+02,2.755e+02,1.771e+04,1.860e+04,0.193,0.094,0.048,0.042,0.039
56.0,4.925e+02,2.897e+02,1.352e+04,1.430e+04,0.234,0.107,0.053,0.049,0.044
57.6,4.069e+02,2.992e+02,1.053e+04,1.124e+04,0.275,0.118,0.056,0.053,0.046
59.2,4.026e+02,3.555e+02,9.718e+03,1.048e+04,0.315,0.126,0.056,0.056,0.047
60.7,3.831e+02,3.886e+02,8.593e+03,9.364e+03,0.353,0.131,0.053,0.056,0.046
62.3,3.630e+02,3.998e+02,7.675e+03,8.438e+03,0.391,0.133,0.047,0.055,0.044
63.8,3.170e+02,4.651e+02,6.730e+03,7.512e+03,0.427,0.133,0.039,0.052,0.041
65.4,2.361e+02,4.543e+02,5.179e+03,5.870e+03,0.462,0.130,0.032,0.048,0.036
66.9,1.631e+02,3.757e+02,3.830e+03,4.369e+03,0.496,0.124,0.028,0.043,0.030
68.5,1.230e+02,2.893e+02,2.842e+03,3.254e+03,0.528,0.116,0.029,0.036,0.024
70.1,1.599e+02,2.010e+02,2.328e+03,2.689e+03,0.558,0.106,0.036,0.029,0.020
71.6,2.293e+02,1.672e+02,2.309e+03,2.706e+03,0.587,0.096,0.049,0.022,0.018
73.2,2.525e+02,1.710e+02,2.221e+03,2.644e+03,0.613,0.091,0.070,0.017,0.017
74.7,2.430e+02,1.847e+02,1.837e+03,2.265e+03,0.638,0.085,0.093,0.015,0.018
76.3,2.301e+02,1.980e+02,1.633e+03,2.061e+03,0.662,0.082,0.118,0.016,0.020
77.8,1.864e+02,1.883e+02,1.428e+03,1.803e+03,0.683,0.080,0.144,0.019,0.023
79.4,1.313e+02,1.672e+02,1.033e+03,1.331e+03,0.702,0.082,0.171,0.026,0.029
81.0,9.372e+01,1.646e+02,8.185e+02,1.077e+03,0.719,0.088,0.199,0.033,0.035
82.5,6.295e+01,1.620e+02,6.396e+02,8.645e+02,0.735,0.097,0.227,0.040,0.041
84.1,3.969e+01,1.378e+02,4.300e+02,6.075e+02,0.748,0.110,0.256,0.046,0.046
85.6,3.546e+01,1.322e+02,3.840e+02,5.516e+02,0.759,0.124,0.285,0.051,0.050
87.2,3.659e+01,1.281e+02,3.632e+02,5.278e+02,0.768,0.141,0.314,0.054,0.054
88.7,3.901e+01,1.326e+02,3.263e+02,4.980e+02,0.775,0.170,0.343,0.057,0.056
90.3,4.337e+01,1.507e+02,3.229e+02,5.170e+02,0.780,0.200,0.371,0.058,0.057
91.9,4.718e+01,1.535e+02,3.215e+02,5.222e+02,0.783,0.230,0.399,0.058,0.057
93.4,5.061e+01,1.632e+02,2.879e+02,5.017e+02,0.784,0.260,0.425,0.056,0.056
95.0,5.575e+01,1.492e+02,3.002e+02,5.052e+02,0.783,0.289,0.450,0.053,0.055
96.5,6.104e+01,1.404e+02,2.903e+02,4.918e+02,0.780,0.319,0.474,0.048,0.052
