freq,psd_x,psd_y,psd_z,psd_xyz,zv(69.8),mzv(67.0),ei(80.4),2hump_ei(103.6),3hump_ei(128.2)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.6,1.882e-14,6.225e-12,2.571e-14,6.270e-12,0.996,0.994,0.994,0.993,0.992
3.1,5.022e-03,4.582e-01,2.409e-03,4.656e-01,0.992,0.987,0.986,0.984,0.983
4.7,5.876e-01,2.646e+01,3.750e-01,2.742e+01,0.986,0.978,0.976,0.973,0.971
6.2,2.765e+00,1.035e+02,2.162e+00,1.085e+02,0.978,0.968,0.964,0.960,0.958
7.8,4.905e+00,1.512e+02,2.330e+00,1.584e+02,0.970,0.956,0.950,0.946,0.943
9.3,6.464e+00,2.524e+02,3.186e+00,2.620e+02,0.961,0.942,0.935,0.929,0.926
10.9,5.743e+00,2.954e+02,3.315e+00,3.044e+02,0.950,0.927,0.918,0.912,0.907
12.5,5.202e+00,3.243e+02,2.834e+00,3.324e+02,0.939,0.911,0.900,0.892,0.887
14.0,3.995e+00,3.480e+02,2.418e+00,3.545e+02,0.926,0.893,0.880,0.871,0.866
15.6,3.963e+00,3.799e+02,2.472e+00,3.864e+02,0.912,0.874,0.859,0.849,0.843
17.1,3.675e+00,4.214e+02,2.445e+00,4.275e+02,0.897,0.853,0.836,0.826,0.819
18.7,3.487e+00,4.762e+02,2.171e+00,4.819e+02,0.882,0.832,0.813,0.801,0.793
20.2,3.330e+00,5.245e+02,2.366e+00,5.302e+02,0.865,0.809,0.788,0.775,0.767
21.8,3.269e+00,5.995e+02,2.820e+00,6.056e+02,0.847,0.785,0.761,0.748,0.740
23.4,3.159e+00,6.637e+02,2.583e+00,6.694e+02,0.828,0.760,0.735,0.721,0.711
24.9,3.101e+00,7.051e+02,2.185e+00,7.104e+02,0.809,0.735,0.707,0.692,0.682
26.5,2.893e+00,8.035e+02,2.475e+00,8.089e+02,0.788,0.708,0.678,0.663,0.653
28.0,2.965e+00,8.958e+02,2.568e+00,9.013e+02,0.767,0.681,0.649,0.633,0.623
29.6,3.053e+00,9.711e+02,3.448e+00,9.776e+02,0.745,0.653,0.619,0.603,0.593
31.1,2.945e+00,1.113e+03,4.404e+00,1.120e+03,0.722,0.624,0.589,0.573,0.562
32.7,3.050e+00,1.249e+03,4.681e+00,1.257e+03,0.698,0.595,0.558,0.542,0.531
34.3,3.051e+00,1.336e+03,6.080e+00,1.345e+03,0.674,0.566,0.527,0.512,0.500
35.8,3.604e+00,1.548e+03,6.754e+00,1.558e+03,0.649,0.536,0.496,0.481,0.470
37.4,3.944e+00,1.744e+03,8.057e+00,1.756e+03,0.623,0.506,0.465,0.450,0.439
38.9,4.147e+00,1.904e+03,8.838e+00,1.917e+03,0.597,0.476,0.435,0.420,0.409
40.5,4.514e+00,2.255e+03,9.302e+00,2.269e+03,0.570,0.446,0.404,0.390,0.380
42.0,4.903e+00,2.551e+03,1.698e+01,2.573e+03,0.542,0.416,0.374,0.360,0.350
43.6,5.343e+00,2.883e+03,2.734e+01,2.916e+03,0.514,0.386,0.344,0.331,0.322
45.1,6.655e+00,3.516e+03,2.990e+01,3.552e+03,0.486,0.356,0.314,0.303,0.294
46.7,7.061e+00,3.966e+03,2.465e+01,3.998e+03,0.457,0.327,0.286,0.275,0.267
48.3,7.860e+00,4.562e+03,3.299e+01,4.603e+03,0.428,0.297,0.257,0.248,0.241
49.8,9.350e+00,5.747e+03,5.266e+01,5.809e+03,0.398,0.269,0.230,0.222,0.216
51.4,8.697e+00,6.637e+03,7.206e+01,6.718e+03,0.368,0.241,0.204,0.197,0.192
52.9,8.269e+00,7.907e+03,1.006e+02,8.016e+03,0.338,0.213,0.178,0.173,0.168
54.5,9.006e+00,1.035e+04,1.412e+02,1.050e+04,0.308,0.186,0.154,0.150,0.147
56.0,1.095e+01,1.251e+04,1.661e+02,1.269e+04,0.277,0.160,0.131,0.128,0.126
57.6,1.565e+01,1.577e+04,1.808e+02,1.597e+04,0.246,0.135,0.109,0.108,0.107
59.2,2.616e+01,2.142e+04,2.469e+02,2.169e+04,0.216,0.111,0.088,0.088,0.089
60.7,3.258e+01,2.569e+04,2.498e+02,2.597e+04,0.185,0.088,0.068,0.070,0.072
62.3,3.959e+01,2.951e+04,2.417e+02,2.979e+04,0.154,0.066,0.051,0.053,0.057
63.8,5.588e+01,3.454e+04,2.889e+02,3.489e+04,0.124,0.050,0.037,0.038,0.044
65.4,5.666e+01,3.478e+04,2.460e+02,3.509e+04,0.100,0.039,0.028,0.028,0.033
66.9,5.267e+01,3.508e+04,2.283e+02,3.536e+04,0.080,0.035,0.024,0.022,0.026
68.5,4.855e+01,3.847e+04,2.680e+02,3.879e+04,0.066,0.037,0.024,0.021,0.023
70.1,3.022e+01,3.720e+04,2.410e+02,3.748e+04,0.062,0.044,0.028,0.023,0.024
71.6,2.689e+01,3.440e+04,2.337e+02,3.466e+04,0.070,0.054,0.034,0.026,0.028
73.2,3.882e+01,3.187e+04,2.524e+02,3.216e+04,0.086,0.067,0.041,0.034,0.032
74.7,6.410e+01,2.599e+04,3.100e+02,2.637e+04,0.106,0.080,0.047,0.040,0.037
76.3,1.106e+02,2.211e+04,4.957e+02,2.272e+04,0.132,0.091,0.051,0.045,0.040
77.8,1.497e+02,1.873e+04,6.305e+02,1.951e+04,0.161,0.101,0.054,0.050,0.043
79.4,1.399e+02,1.504e+04,5.901e+02,1.577e+04,0.189,0.110,0.056,0.053,0.046
81.0,1.328e+02,1.251e+04,5.289e+02,1.317e+04,0.218,0.117,0.056,0.055,0.047
82.5,1.346e+02,1.043e+04,5.032e+02,1.107e+04,0.246,0.123,0.054,0.056,0.047
84.1,1.050e+02,8.422e+03,3.869e+02,8.913e+03,0.274,0.128,0.052,0.056,0.047
85.6,1.022e+02,7.231e+03,3.557e+02,7.689e+03,0.301,0.131,0.047,0.055,0.045
87.2,1.014e+02,6.199e+03,3.321e+02,6.633e+03,0.328,0.133,0.042,0.054,0.043
88.7,8.153e+01,5.364e+03,2.537e+02,5.699e+03,0.355,0.133,0.035,0.051,0.041
90.3,8.234e+01,4.726e+03,2.444e+02,5.053e+03,0.381,0.132,0.031,0.048,0.037
91.9,8.165e+01,4.154e+03,2.341e+02,4.470e+03,0.406,0.130,0.029,0.044,0.034
93.4,6.991e+01,3.802e+03,1.902e+02,4.062e+03,0.431,0.127,0.028,0.040,0.029
95.0,7.635e+01,3.411e+03,1.980e+02,3.685e+03,0.454,0.122,0.031,0.035,0.025
96.5,7.437e+01,3.100e+03,1.860e+02,3.360e+03,0.478,0.116,0.036,0.030,0.022
98.1,6.402e+01,2.870e+03,1.550e+02,3.089e+03,0.500,0.108,0.044,0.025,0.020
99.6,7.215e+01,2.597e+03,1.670e+02,2.837e+03,0.522,0.100,0.059,0.020,0.018
101.2,7.065e+01,2.403e+03,1.606e+02,2.635e+03,0.543,0.095,0.074,0.017,0.017
102.8,6.050e+01,2.236e+03,1.385e+02,2.435e+03,0.564,0.091,0.091,0.015,0.017
104.3,6.404e+01,2.044e+03,1.506e+02,2.258e+03,0.583,0.087,0.109,0.015,0.018
105.9,5.982e+01,1.917e+03,1.409e+02,2.118e+03,0.602,0.084,0.128,0.016,0.020
107.4,5.501e+01,1.839e+03,1.266e+02,2.020e+03,0.620,0.082,0.147,0.019,0.022
109.0,5.845e+01,1.753e+03,1.352e+02,1.947e+03,0.637,0.080,0.167,0.024,0.024
110.5,5.583e+01,1.650e+03,1.218e+02,1.828e+03,0.653,0.081,0.187,0.029,0.029
112.1,5.434e+01,1.626e+03,1.101e+02,1.791e+03,0.668,0.083,0.207,0.034,0.034
113.7,5.670e+01,1.497e+03,1.175e+02,1.671e+03,0.683,0.087,0.228,0.039,0.038
115.2,5.790e+01,1.456e+03,1.036e+02,1.617e+03,0.696,0.093,0.249,0.043,0.042
116.8,6.317e+01,1.409e+03,9.555e+01,1.567e+03,0.709,0.101,0.270,0.047,0.046
118.3,7.248e+01,1.286e+03,1.038e+02,1.462e+03,0.720,0.110,0.291,0.051,0.049
119.9,8.894e+01,1.270e+03,8.939e+01,1.449e+03,0.731,0.120,0.312,0.054,0.052
121.4,1.149e+02,1.228e+03,8.235e+01,1.425e+03,0.741,0.131,0.333,0.056,0.054
123.0,1.446e+02,1.095e+03,8.696e+01,1.326e+03,0.749,0.144,0.354,0.057,0.055
124.6,2.093e+02,1.073e+03,8.103e+01,1.364e+03,0.757,0.165,0.374,0.058,0.057
126.1,3.165e+02,1.071e+03,8.534e+01,1.473e+03,0.764,0.186,0.394,0.058,0.057
127.7,4.388e+02,9.540e+02,1.063e+02,1.499e+03,0.770,0.207,0.414,0.058,0.057
129.2,6.183e+02,9.992e+02,1.043e+02,1.722e+03,0.774,0.229,0.433,0.056,0.057
130.8,8.366e+02,9.800e+02,1.148e+02,1.931e+03,0.778,0.250,0.451,0.054,0.056
132.3,9.475e+02,8.702e+02,1.342e+02,1.952e+03,0.781,0.271,0.468,0.051,0.054
133.9,9.791e+02,7.621e+02,1.365e+02,1.878e+03,0.783,0.292,0.485,0.047,0.052
135.4,6.540e+02,3.139e+02,1.118e+02,1.080e+03,0.784,0.313,0.501,0.043,0.050
137.0,5.460e+02,1.935e+02,1.226e+02,8.621e+02,0.784,0.334,0.516,0.038,0.047
138.6,3.834e+02,1.550e+02,9.217e+01,6.305e+02,0.783,0.355,0.531,0.032,0.043
140.1,3.065e+02,1.496e+02,8.433e+01,5.405e+02,0.781,0.375,0.544,0.029,0.040
141.7,2.181e+02,1.363e+02,7.137e+01,4.257e+02,0.778,0.394,0.556,0.029,0.035
143.2,1.754e+02,1.386e+02,6.650e+01,3.805e+02,0.774,0.413,0.567,0.029,0.031
144.8,1.505e+02,1.360e+02,6.059e+01,3.471e+02,0.770,0.432,0.577,0.031,0.027
146.3,1.402e+02,1.303e+02,5.632e+01,3.268e+02,0.764,0.450,0.586,0.035,0.022
147.9,1.257e+02,1.312e+02,5.520e+01,3.120e+02,0.757,0.467,0.594,0.042,0.020
149.5,1.167e+02,1.368e+02,5.375e+01,3.073e+02,0.750,0.484,0.601,0.053,0.020
151.0,1.082e+02,1.405e+02,5.428e+01,3.030e+02,0.742,0.500,0.606,0.065,0.019
152.6,1.191e+02,1.431e+02,5.973e+01,3.219e+02,0.733,0.515,0.611,0.078,0.019
154.1,1.232e+02,1.457e+02,6.300e+01,3.320e+02,0.723,0.529,0.614,0.092,0.020
155.7,1.332e+02,1.456e+02,7.188e+01,3.507e+02,0.712,0.543,0.615,0.106,0.022
157.2,1.331e+02,1.382e+02,7.872e+01,3.500e+02,0.700,0.555,0.616,0.121,0.025
158.8,1.402e+02,1.470e+02,9.287e+01,3.801e+02,0.688,0.567,0.615,0.136,0.030
160.4,1.358e+02,1.511e+02,9.377e+01,3.807e+02,0.675,0.577,0.614,0.152,0.035
161.9,1.456e+02,1.495e+02,1.004e+02,3.956e+02,0.661,0.587,0.611,0.168,0.040
163.5,1.417e+02,1.375e+02,9.655e+01,3.757e+02,0.646,0.596,0.606,0.184,0.044
165.0,1.493e+02,1.446e+02,1.020e+02,3.959e+02,0.631,0.603,0.601,0.200,0.049
166.6,1.513e+02,1.388e+02,1.043e+02,3.944e+02,0.615,0.609,0.595,0.217,0.053
168.1,1.597e+02,1.338e+02,1.129e+02,4.064e+02,0.598,0.615,0.587,0.233,0.057
169.7,1.664e+02,1.435e+02,1.239e+02,4.338e+02,0.581,0.619,0.579,0.250,0.060
171.3,1.708e+02,1.321e+02,1.304e+02,4.333e+02,0.564,0.622,0.569,0.266,0.062
172.8,1.878e+02,1.375e+02,1.456e+02,4.709e+02,0.545,0.624,0.559,0.282,0.065
174.4,1.952e+02,1.374e+02,1.447e+02,4.773e+02,0.526,0.626,0.547,0.298,0.066
175.9,1.925e+02,1.312e+02,1.450e+02,4.687e+02,0.507,0.625,0.535,0.314,0.067
177.5,1.982e+02,1.351e+02,1.463e+02,4.796e+02,0.488,0.624,0.522,0.329,0.068
179.0,1.979e+02,1.256e+02,1.421e+02,4.656e+02,0.467,0.622,0.508,0.344,0.067
180.6,2.010e+02,1.309e+02,1.417e+02,4.736e+02,0.447,0.619,0.493,0.358,0.066
182.2,2.008e+02,1.302e+02,1.424e+02,4.734e+02,0.426,0.615,0.478,0.372,0.065
183.7,1.971e+02,1.430e+02,1.462e+02,4.863e+02,0.405,0.609,0.462,0.385,0.062
185.3,2.178e+02,1.597e+02,1.630e+02,5.405e+02,0.384,0.603,0.446,0.397,0.059
186.8,2.158e+02,1.703e+02,1.637e+02,5.498e+02,0.372,0.596,0.429,0.409,0.056
188.4,2.355e+02,1.939e+02,1.723e+02,6.018e+02,0.361,0.587,0.412,0.420,0.051
189.9,2.200e+02,2.055e+02,1.663e+02,5.918e+02,0.351,0.578,0.394,0.431,0.051
191.5,2.208e+02,2.381e+02,1.646e+02,6.234e+02,0.341,0.568,0.376,0.440,0.051
193.1,2.194e+02,2.848e+02,1.832e+02,6.874e+02,0.331,0.557,0.358,0.449,0.052
194.6,2.225e+02,3.469e+02,1.954e+02,7.648e+02,0.322,0.546,0.340,0.457,0.052
196.2,2.097e+02,4.062e+02,1.977e+02,8.136e+02,0.314,0.533,0.322,0.464,0.053
197.7,2.069e+02,4.830e+02,2.267e+02,9.166e+02,0.307,0.520,0.304,0.469,0.054
199.3,1.999e+02,5.728e+02,2.443e+02,1.017e+03,0.300,0.506,0.286,0.474,0.056
200.8,1.882e+02,6.766e+02,2.715e+02,1.136e+03,0.295,0.492,0.268,0.479,0.058
202.4,1.810e+02,8.308e+02,3.078e+02,1.320e+03,0.290,0.477,0.251,0.482,0.060
