freq,psd_x,psd_y,psd_z,psd_xyz,zv(46.4),mzv(43.2),ei(52.6),2hump_ei(67.6),3hump_ei(83.2)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.6,3.183e-13,5.312e-12,4.054e-13,6.036e-12,0.994,0.991,0.990,0.988,0.988
3.1,8.850e-02,6.156e-01,1.315e-01,8.356e-01,0.986,0.978,0.975,0.972,0.970
4.7,1.101e+01,4.714e+01,1.438e+01,7.252e+01,0.974,0.960,0.956,0.952,0.949
6.2,6.174e+01,1.994e+02,7.347e+01,3.346e+02,0.961,0.940,0.934,0.928,0.924
7.8,1.027e+02,3.205e+02,1.510e+02,5.743e+02,0.945,0.916,0.907,0.900,0.894
9.3,1.569e+02,5.082e+02,2.078e+02,8.729e+02,0.926,0.888,0.877,0.868,0.861
10.9,1.716e+02,5.960e+02,2.305e+02,9.981e+02,0.905,0.857,0.844,0.833,0.825
12.4,1.356e+02,6.160e+02,1.946e+02,9.462e+02,0.882,0.824,0.808,0.796,0.786
14.0,1.077e+02,6.434e+02,1.726e+02,9.238e+02,0.856,0.788,0.770,0.756,0.745
15.5,1.043e+02,7.014e+02,1.691e+02,9.748e+02,0.829,0.749,0.728,0.713,0.702
17.1,1.027e+02,8.222e+02,1.725e+02,1.097e+03,0.799,0.708,0.686,0.669,0.657
18.6,1.027e+02,1.088e+03,1.762e+02,1.367e+03,0.768,0.666,0.641,0.624,0.611
20.2,9.281e+01,1.351e+03,1.545e+02,1.598e+03,0.734,0.622,0.595,0.578,0.564
21.7,8.494e+01,1.555e+03,1.308e+02,1.770e+03,0.699,0.577,0.549,0.531,0.517
23.3,8.066e+01,1.585e+03,1.409e+02,1.807e+03,0.662,0.531,0.502,0.484,0.469
24.8,8.313e+01,1.703e+03,1.502e+02,1.936e+03,0.624,0.485,0.455,0.438,0.423
26.4,8.329e+01,2.082e+03,1.308e+02,2.296e+03,0.584,0.438,0.408,0.392,0.377
27.9,8.069e+01,2.387e+03,1.328e+02,2.600e+03,0.543,0.392,0.362,0.347,0.333
29.5,8.835e+01,2.342e+03,1.291e+02,2.560e+03,0.501,0.346,0.317,0.303,0.290
31.0,8.741e+01,2.330e+03,1.192e+02,2.536e+03,0.458,0.301,0.273,0.261,0.249
32.6,7.882e+01,2.803e+03,1.208e+02,3.003e+03,0.414,0.257,0.231,0.221,0.210
34.1,1.043e+02,3.956e+03,1.442e+02,4.204e+03,0.370,0.214,0.191,0.183,0.174
35.7,1.513e+02,6.198e+03,1.865e+02,6.536e+03,0.324,0.173,0.154,0.148,0.141
37.2,3.797e+02,1.091e+04,2.484e+02,1.154e+04,0.279,0.133,0.119,0.115,0.110
38.8,8.926e+02,1.811e+04,3.529e+02,1.935e+04,0.233,0.097,0.087,0.085,0.083
40.3,2.026e+03,2.691e+04,4.272e+02,2.936e+04,0.187,0.063,0.058,0.059,0.059
41.9,3.177e+03,3.111e+04,4.086e+02,3.469e+04,0.141,0.042,0.036,0.035,0.039
43.4,4.126e+03,2.980e+04,6.179e+02,3.455e+04,0.101,0.034,0.025,0.024,0.026
45.0,4.576e+03,2.433e+04,7.092e+02,2.961e+04,0.073,0.042,0.025,0.021,0.023
46.5,4.797e+03,1.899e+04,6.857e+02,2.447e+04,0.062,0.058,0.031,0.026,0.028
48.1,5.236e+03,1.694e+04,8.599e+02,2.304e+04,0.076,0.078,0.042,0.036,0.035
49.6,5.134e+03,1.404e+04,1.118e+03,2.029e+04,0.105,0.095,0.050,0.045,0.041
51.2,4.986e+03,1.019e+04,1.328e+03,1.650e+04,0.144,0.109,0.055,0.051,0.045
