freq,psd_x,psd_y,psd_z,psd_xyz,zv(65.2),mzv(61.0),ei(74.8),2hump_ei(51.0),3hump_ei(49.8)
91.4,1.729e+02,4.088e+02,3.037e+03,3.619e+03,0.498,0.097,0.056,0.423,0.332
93.0,1.770e+02,3.913e+02,2.996e+03,3.564e+03,0.521,0.093,0.072,0.441,0.348
94.5,1.719e+02,4.126e+02,2.773e+03,3.358e+03,0.543,0.088,0.089,0.456,0.361
96.1,1.835e+02,4.625e+02,2.712e+03,3.358e+03,0.565,0.085,0.108,0.467,0.369
97.6,2.078e+02,5.543e+02,2.633e+03,3.395e+03,0.586,0.082,0.127,0.475,0.372
99.2,2.096e+02,5.888e+02,2.505e+03,3.303e+03,0.606,0.080,0.147,0.479,0.370
100.7,2.149e+02,6.444e+02,2.631e+03,3.491e+03,0.624,0.081,0.167,0.478,0.363
102.3,2.108e+02,6.881e+02,2.554e+03,3.453e+03,0.642,0.084,0.188,0.474,0.352
103.8,2.160e+02,6.644e+02,2.533e+03,3.413e+03,0.659,0.088,0.210,0.467,0.337
105.4,2.131e+02,7.417e+02,2.537e+03,3.492e+03,0.675,0.095,0.232,0.455,0.318
106.9,1.967e+02,8.569e+02,2.353e+03,3.406e+03,0.690,0.104,0.253,0.441,0.296
108.5,2.179e+02,1.054e+03,2.397e+03,3.669e+03,0.704,0.115,0.276,0.423,0.272
110.0,2.551e+02,1.114e+03,2.594e+03,3.963e+03,0.716,0.126,0.298,0.403,0.246
111.6,2.741e+02,1.194e+03,2.655e+03,4.123e+03,0.728,0.139,0.320,0.380,0.219
113.1,3.090e+02,1.378e+03,2.805e+03,4.492e+03,0.739,0.161,0.342,0.356,0.192
114.7,2.938e+02,1.414e+03,2.691e+03,4.399e+03,0.748,0.184,0.363,0.329,0.165
116.2,2.990e+02,1.419e+03,2.605e+03,4.323e+03,0.756,0.207,0.384,0.302,0.138
117.8,3.208e+02,1.433e+03,2.593e+03,4.347e+03,0.764,0.231,0.405,0.274,0.114
119.3,2.987e+02,1.259e+03,2.375e+03,3.933e+03,0.770,0.254,0.425,0.246,0.091
120.9,2.772e+02,1.023e+03,2.186e+03,3.486e+03,0.775,0.277,0.444,0.218,0.072
122.4,3.092e+02,9.458e+02,2.246e+03,3.501e+03,0.779,0.300,0.463,0.191,0.062
124.0,3.063e+02,8.588e+02,2.101e+03,3.266e+03,0.782,0.323,0.481,0.164,0.056
125.5,3.367e+02,9.288e+02,2.121e+03,3.386e+03,0.783,0.346,0.498,0.140,0.051
127.1,4.018e+02,1.082e+03,2.340e+03,3.824e+03,0.784,0.368,0.514,0.116,0.047
128.6,4.457e+02,1.235e+03,2.486e+03,4.167e+03,0.784,0.389,0.529,0.096,0.043
130.2,5.036e+02,1.523e+03,2.657e+03,4.683e+03,0.782,0.410,0.543,0.088,0.040
131.7,4.973e+02,1.698e+03,2.558e+03,4.753e+03,0.780,0.431,0.556,0.080,0.038
133.3,4.596e+02,1.447e+03,2.387e+03,4.294e+03,0.776,0.451,0.568,0.074,0.036
134.8,3.506e+02,9.923e+02,1.770e+03,3.113e+03,0.771,0.469,0.578,0.068,0.034
136.4,1.918e+02,5.381e+02,9.630e+02,1.693e+03,0.765,0.488,0.587,0.064,0.033
137.9,1.407e+02,3.910e+02,7.288e+02,1.261e+03,0.759,0.505,0.595,0.060,0.032
139.5,1.434e+02,3.631e+02,7.584e+02,1.265e+03,0.751,0.521,0.602,0.057,0.031
141.0,1.599e+02,3.828e+02,8.183e+02,1.361e+03,0.742,0.536,0.607,0.054,0.030
