freq,psd_x,psd_y,psd_z,psd_xyz,zv(49.4),mzv(47.2),ei(55.6),2hump_ei(69.4),3hump_ei(83.4)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.5,8.645e-14,5.012e-12,1.236e-13,5.222e-12,0.995,0.992,0.990,0.989,0.987
3.1,2.333e-02,6.011e-01,3.481e-02,6.593e-01,0.987,0.980,0.977,0.973,0.970
4.6,4.448e+00,5.794e+01,6.785e+00,6.917e+01,0.977,0.965,0.960,0.954,0.949
6.2,2.108e+01,2.927e+02,3.511e+01,3.489e+02,0.964,0.947,0.940,0.931,0.925
7.7,3.204e+01,4.252e+02,5.395e+01,5.112e+02,0.950,0.926,0.916,0.905,0.896
9.3,5.382e+01,6.945e+02,8.244e+01,8.308e+02,0.933,0.902,0.889,0.875,0.865
10.8,5.845e+01,7.512e+02,1.056e+02,9.152e+02,0.914,0.876,0.859,0.843,0.831
12.4,3.761e+01,6.415e+02,7.571e+01,7.549e+02,0.894,0.847,0.827,0.808,0.794
13.9,4.698e+01,7.713e+02,8.063e+01,8.989e+02,0.871,0.816,0.792,0.771,0.755
15.5,5.229e+01,1.006e+03,7.952e+01,1.138e+03,0.846,0.782,0.755,0.731,0.714
17.0,4.755e+01,9.806e+02,6.447e+01,1.093e+03,0.819,0.747,0.716,0.690,0.671
18.6,5.154e+01,1.019e+03,6.210e+01,1.133e+03,0.791,0.709,0.675,0.648,0.628
20.1,5.627e+01,9.888e+02,7.636e+01,1.121e+03,0.761,0.671,0.634,0.605,0.584
21.7,4.563e+01,7.576e+02,7.226e+01,8.755e+02,0.729,0.631,0.591,0.561,0.539
23.2,4.060e+01,7.291e+02,4.998e+01,8.197e+02,0.696,0.590,0.548,0.518,0.495
24.8,3.837e+01,1.004e+03,5.013e+01,1.092e+03,0.662,0.548,0.504,0.474,0.451
26.3,2.471e+01,1.121e+03,4.495e+01,1.190e+03,0.626,0.506,0.460,0.430,0.407
27.9,2.171e+01,1.273e+03,4.332e+01,1.338e+03,0.589,0.464,0.417,0.388,0.365
29.4,2.326e+01,1.493e+03,4.969e+01,1.566e+03,0.550,0.421,0.374,0.346,0.324
31.0,2.501e+01,1.682e+03,5.348e+01,1.761e+03,0.511,0.379,0.333,0.306,0.285
32.5,3.043e+01,2.161e+03,5.841e+01,2.250e+03,0.471,0.337,0.292,0.268,0.248
34.1,3.996e+01,2.879e+03,6.287e+01,2.982e+03,0.430,0.295,0.253,0.231,0.213
35.6,5.673e+01,3.999e+03,8.527e+01,4.141e+03,0.388,0.255,0.215,0.197,0.181
37.2,9.583e+01,5.734e+03,1.341e+02,5.963e+03,0.346,0.216,0.180,0.165,0.151
38.7,1.861e+02,8.451e+03,1.877e+02,8.825e+03,0.303,0.178,0.147,0.135,0.124
40.3,3.136e+02,1.183e+04,2.788e+02,1.242e+04,0.260,0.142,0.116,0.108,0.100
41.8,5.329e+02,1.685e+04,4.249e+02,1.781e+04,0.217,0.108,0.088,0.084,0.079
43.4,1.255e+03,2.605e+04,7.579e+02,2.806e+04,0.174,0.076,0.064,0.064,0.062
44.9,2.374e+03,3.303e+04,1.098e+03,3.650e+04,0.131,0.051,0.042,0.047,0.049
46.5,3.040e+03,3.176e+04,1.275e+03,3.607e+04,0.096,0.037,0.027,0.035,0.041
48.0,3.492e+03,2.801e+04,1.541e+03,3.305e+04,0.071,0.036,0.020,0.028,0.037
49.6,3.766e+03,2.352e+04,1.618e+03,2.891e+04,0.062,0.046,0.023,0.028,0.037
51.1,4.166e+03,1.985e+04,1.712e+03,2.573e+04,0.076,0.062,0.030,0.031,0.038
52.7,5.169e+03,1.780e+04,1.816e+03,2.479e+04,0.102,0.080,0.036,0.034,0.039
54.2,5.516e+03,1.430e+04,1.525e+03,2.134e+04,0.138,0.095,0.039,0.037,0.040
55.8,5.406e+03,1.031e+04,1.138e+03,1.686e+04,0.178,0.108,0.040,0.038,0.040
57.3,5.350e+03,6.902e+03,9.819e+02,1.323e+04,0.218,0.119,0.037,0.038,0.038
58.9,4.238e+03,4.190e+03,9.178e+02,9.347e+03,0.258,0.126,0.032,0.037,0.036
60.4,3.388e+03,2.879e+03,8.277e+02,7.094e+03,0.297,0.131,0.030,0.034,0.033
62.0,2.972e+03,2.294e+03,7.112e+02,5.978e+03,0.334,0.133,0.028,0.030,0.029
63.5,2.518e+03,1.850e+03,6.004e+02,4.968e+03,0.371,0.133,0.029,0.025,0.025
65.0,2.260e+03,1.390e+03,4.433e+02,4.094e+03,0.407,0.129,0.035,0.020,0.020
66.6,1.982e+03,1.034e+03,2.826e+02,3.299e+03,0.441,0.123,0.044,0.014,0.016
68.1,1.612e+03,7.739e+02,1.702e+02,2.556e+03,0.474,0.115,0.058,0.011,0.013
69.7,1.359e+03,6.233e+02,1.167e+02,2.099e+03,0.506,0.104,0.081,0.011,0.012
71.2,1.120e+03,5.126e+02,8.136e+01,1.714e+03,0.536,0.096,0.105,0.012,0.013
72.8,9.565e+02,4.185e+02,6.483e+01,1.440e+03,0.565,0.090,0.131,0.016,0.016
74.3,8.025e+02,3.568e+02,6.408e+01,1.223e+03,0.592,0.085,0.158,0.021,0.020
75.9,6.351e+02,3.342e+02,6.696e+01,1.036e+03,0.618,0.081,0.186,0.025,0.023
77.4,5.053e+02,3.429e+02,6.986e+01,9.181e+02,0.641,0.080,0.215,0.028,0.026
79.0,4.004e+02,3.388e+02,7.375e+01,8.129e+02,0.664,0.083,0.244,0.031,0.028
80.5,3.262e+02,3.289e+02,7.651e+01,7.317e+02,0.684,0.089,0.274,0.032,0.029
82.1,2.843e+02,3.247e+02,7.809e+01,6.871e+02,0.702,0.099,0.303,0.031,0.030
83.6,2.497e+02,3.172e+02,8.202e+01,6.490e+02,0.719,0.112,0.333,0.030,0.030
85.2,2.302e+02,2.970e+02,7.874e+01,6.060e+02,0.734,0.127,0.362,0.027,0.029
86.7,2.477e+02,3.083e+02,7.214e+01,6.281e+02,0.747,0.146,0.390,0.027,0.027
88.3,2.725e+02,3.324e+02,6.371e+01,6.686e+02,0.758,0.175,0.418,0.027,0.025
89.8,2.853e+02,3.621e+02,5.999e+01,7.074e+02,0.767,0.205,0.444,0.028,0.022
91.4,2.838e+02,3.853e+02,6.230e+01,7.314e+02,0.774,0.235,0.469,0.031,0.018
92.9,2.790e+02,3.986e+02,5.372e+01,7.313e+02,0.779,0.265,0.493,0.035,0.014
94.5,2.931e+02,3.990e+02,5.730e+01,7.494e+02,0.783,0.295,0.514,0.040,0.013
96.0,2.861e+02,3.464e+02,5.518e+01,6.877e+02,0.784,0.325,0.534,0.048,0.012
97.6,2.515e+02,3.299e+02,5.309e+01,6.345e+02,0.784,0.354,0.552,0.063,0.012
99.1,2.270e+02,4.033e+02,6.403e+01,6.943e+02,0.781,0.382,0.568,0.081,0.013
100.7,2.044e+02,4.086e+02,9.279e+01,7.058e+02,0.777,0.409,0.582,0.101,0.014
102.2,1.930e+02,3.541e+02,9.845e+01,6.456e+02,0.771,0.436,0.593,0.121,0.015
103.8,1.833e+02,3.349e+02,1.038e+02,6.220e+02,0.763,0.461,0.602,0.142,0.018
105.3,1.826e+02,3.920e+02,1.315e+02,7.061e+02,0.753,0.485,0.609,0.165,0.021
106.9,1.968e+02,5.148e+02,1.807e+02,8.924e+02,0.742,0.507,0.613,0.187,0.023
108.4,2.000e+02,5.355e+02,1.823e+02,9.178e+02,0.729,0.527,0.614,0.210,0.025
110.0,1.751e+02,5.233e+02,1.675e+02,8.659e+02,0.714,0.546,0.613,0.234,0.025
111.5,1.758e+02,6.421e+02,2.089e+02,1.027e+03,0.698,0.563,0.610,0.257,0.024
113.1,1.770e+02,8.309e+02,2.758e+02,1.284e+03,0.680,0.578,0.604,0.280,0.023
114.6,1.870e+02,7.562e+02,2.550e+02,1.198e+03,0.661,0.591,0.596,0.302,0.024
116.2,1.964e+02,6.141e+02,1.896e+02,1.000e+03,0.640,0.602,0.586,0.324,0.025
117.7,1.830e+02,5.839e+02,1.652e+02,9.322e+02,0.618,0.611,0.573,0.345,0.026
119.3,1.647e+02,6.477e+02,1.730e+02,9.854e+02,0.594,0.618,0.559,0.365,0.028
120.8,1.409e+02,5.675e+02,1.444e+02,8.529e+02,0.570,0.623,0.542,0.384,0.030
122.4,1.083e+02,4.326e+02,1.199e+02,6.608e+02,0.544,0.625,0.524,0.402,0.033
123.9,7.910e+01,3.764e+02,1.120e+02,5.675e+02,0.518,0.625,0.504,0.418,0.037
125.5,7.048e+01,3.477e+02,1.191e+02,5.373e+02,0.490,0.624,0.483,0.432,0.042
127.0,7.138e+01,3.715e+02,1.096e+02,5.524e+02,0.462,0.620,0.460,0.445,0.054
128.6,8.671e+01,4.643e+02,1.569e+02,7.079e+02,0.433,0.613,0.437,0.455,0.069
