freq,psd_x,psd_y,psd_z,psd_xyz,zv(58.6),mzv(41.4),ei(56.4),2hump_ei(54.6),3hump_ei(49.8)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.5,1.006e-12,3.088e-12,1.006e-11,1.416e-11,0.996,0.990,0.991,0.985,0.977
3.1,3.348e-01,9.651e-01,2.006e+00,3.305e+00,0.989,0.976,0.977,0.963,0.941
4.6,4.459e+01,1.410e+02,2.335e+02,4.191e+02,0.982,0.958,0.961,0.935,0.894
6.2,2.396e+02,7.120e+02,1.180e+03,2.132e+03,0.972,0.936,0.940,0.901,0.837
7.7,4.594e+02,1.528e+03,2.409e+03,4.397e+03,0.961,0.910,0.917,0.862,0.772
9.3,5.747e+02,1.778e+03,3.369e+03,5.722e+03,0.949,0.880,0.890,0.818,0.701
10.8,6.121e+02,1.987e+03,3.519e+03,6.117e+03,0.935,0.847,0.860,0.769,0.625
12.4,5.491e+02,1.570e+03,3.204e+03,5.323e+03,0.919,0.811,0.828,0.717,0.547
13.9,5.079e+02,1.513e+03,3.003e+03,5.025e+03,0.902,0.773,0.793,0.663,0.468
15.5,4.289e+02,1.267e+03,2.675e+03,4.372e+03,0.884,0.732,0.756,0.607,0.391
17.0,4.007e+02,1.190e+03,2.612e+03,4.204e+03,0.864,0.688,0.718,0.549,0.317
18.6,3.308e+02,1.033e+03,2.420e+03,3.785e+03,0.843,0.643,0.677,0.491,0.247
20.1,3.222e+02,9.549e+02,2.569e+03,3.847e+03,0.820,0.597,0.635,0.433,0.184
21.7,3.465e+02,9.966e+02,2.736e+03,4.079e+03,0.797,0.549,0.593,0.377,0.128
23.2,2.989e+02,8.712e+02,2.605e+03,3.775e+03,0.772,0.501,0.549,0.322,0.081
24.8,2.681e+02,7.875e+02,2.293e+03,3.348e+03,0.745,0.453,0.506,0.269,0.044
26.3,2.610e+02,7.281e+02,2.300e+03,3.289e+03,0.718,0.404,0.462,0.220,0.023
27.9,2.773e+02,7.820e+02,2.383e+03,3.442e+03,0.690,0.356,0.418,0.173,0.028
29.4,2.792e+02,7.746e+02,2.619e+03,3.673e+03,0.661,0.309,0.375,0.131,0.039
31.0,2.386e+02,6.901e+02,2.762e+03,3.691e+03,0.630,0.262,0.332,0.092,0.046
32.5,2.169e+02,6.227e+02,2.960e+03,3.800e+03,0.599,0.218,0.291,0.059,0.047
34.1,2.109e+02,5.923e+02,3.376e+03,4.179e+03,0.567,0.175,0.251,0.032,0.042
35.6,1.948e+02,5.857e+02,3.830e+03,4.611e+03,0.535,0.134,0.213,0.021,0.034
37.2,1.925e+02,5.926e+02,4.475e+03,5.260e+03,0.501,0.095,0.177,0.024,0.023
38.7,2.029e+02,6.162e+02,5.286e+03,6.105e+03,0.467,0.060,0.143,0.035,0.018
40.3,1.885e+02,6.010e+02,5.848e+03,6.638e+03,0.433,0.040,0.111,0.046,0.018
41.8,1.727e+02,5.710e+02,6.960e+03,7.704e+03,0.398,0.035,0.082,0.053,0.022
43.4,1.688e+02,6.605e+02,9.021e+03,9.851e+03,0.362,0.045,0.055,0.056,0.033
44.9,1.548e+02,6.782e+02,1.053e+04,1.136e+04,0.326,0.063,0.035,0.055,0.043
46.5,1.605e+02,8.121e+02,1.311e+04,1.408e+04,0.290,0.084,0.025,0.052,0.051
48.0,1.626e+02,1.049e+03,1.702e+04,1.824e+04,0.254,0.100,0.024,0.046,0.056
49.6,1.802e+02,1.127e+03,2.033e+04,2.164e+04,0.217,0.114,0.030,0.038,0.057
51.1,1.957e+02,1.277e+03,2.684e+04,2.831e+04,0.181,0.124,0.040,0.028,0.055
52.7,2.149e+02,1.383e+03,3.294e+04,3.454e+04,0.145,0.130,0.048,0.019,0.049
54.2,3.197e+02,1.328e+03,3.725e+04,3.890e+04,0.111,0.133,0.054,0.015,0.041
55.8,4.161e+02,1.185e+03,3.904e+04,4.064e+04,0.085,0.132,0.056,0.016,0.030
57.3,4.026e+02,1.023e+03,3.683e+04,3.825e+04,0.067,0.128,0.055,0.023,0.021
58.9,3.157e+02,8.935e+02,3.093e+04,3.214e+04,0.062,0.121,0.052,0.033,0.019
60.4,2.691e+02,9.186e+02,2.763e+04,2.882e+04,0.073,0.110,0.046,0.042,0.022
62.0,2.143e+02,9.505e+02,2.431e+04,2.547e+04,0.094,0.098,0.037,0.049,0.032
63.5,2.088e+02,1.010e+03,2.154e+04,2.276e+04,0.121,0.091,0.031,0.055,0.045
65.1,1.864e+02,9.197e+02,1.833e+04,1.944e+04,0.155,0.085,0.028,0.058,0.055
66.6,1.830e+02,7.678e+02,1.466e+04,1.562e+04,0.189,0.081,0.031,0.058,0.063
